Company,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Do Not Email,Do Not Call,Lead Source,Lead Origin,Last Activity
Cloudra LLC,14,925,4.1,0,0,Reference,Lead Import,Converted to Lead
CoreLoop Inc,14,621,1.1,0,1,Organic Search,API,Converted to Lead
Nimbus LLC,2,121,0.3,0,0,Organic Search,Lead Add Form,Page Visited on Website
Fluxwave Ltd,16,478,5.1,1,0,Other,Landing Page Submission,Page Visited on Website
Quanta Group,17,1908,6.7,0,0,Direct Traffic,Lead Add Form,Email Opened
Vector LLC,3,820,0.9,0,1,Google,Landing Page Submission,Email Opened
Synapse Ltd,1,962,3.0,1,1,Google,API,Olark Chat Conversation
Pixelbyte Inc,9,681,0.1,1,0,Direct Traffic,API,Email Opened
Nimbus Inc,14,1632,3.9,0,1,Reference,API,SMS Sent
Northstar Group,3,808,3.4,0,0,Olark Chat,Lead Add Form,Email Opened
Synapse Ltd,12,1749,4.8,0,0,Direct Traffic,API,Page Visited on Website
Quanta Inc,19,673,6.6,1,0,Google,Landing Page Submission,SMS Sent
