Company,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Do Not Email,Do Not Call,Lead Source,Lead Origin,Last Activity
Retailwave Co,7,340,7.2,1,0,Reference,Lead Add Form,Page Visited on Website
Basketful Inc,7,1354,8.0,0,1,Direct Traffic,API,Olark Chat Conversation
Bazaar Co,20,1415,5.0,0,0,Reference,Landing Page Submission,Page Visited on Website
Marketloop Ltd,2,1487,2.9,1,0,Reference,Landing Page Submission,Email Opened
Fastship Ltd,5,109,2.1,0,0,Reference,API,Page Visited on Website
Urban Cart Co,12,298,0.9,0,1,Google,Lead Import,Page Visited on Website
Threadline Inc,2,276,0.6,1,1,Reference,Lead Add Form,Converted to Lead
Urban Cart Inc,20,949,2.6,0,0,Other,Landing Page Submission,Email Opened
Bazaar Group,20,1453,6.0,1,0,Direct Traffic,API,Page Visited on Website
Doorstep Group,13,1615,3.6,0,0,Other,API,Olark Chat Conversation
Retailwave Co,19,777,6.3,0,1,Other,Landing Page Submission,SMS Sent
Curbside Ltd,6,63,1.8,1,0,Google,API,Converted to Lead
