Company,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Do Not Email,Do Not Call,Lead Source,Lead Origin,Last Activity
Meridian Group,13,1300,2.3,0,1,Reference,API,Converted to Lead
Ashford Ltd,0,28,3.0,1,0,Direct Traffic,API,SMS Sent
Ledger Group,13,1261,3.5,0,1,Other,Landing Page Submission,Olark Chat Conversation
Ledger Ltd,2,255,6.5,0,1,Direct Traffic,Lead Add Form,Page Visited on Website
Cresthill Ltd,5,1362,0.3,0,0,Direct Traffic,API,Converted to Lead
Capital Peak Inc,17,975,4.5,1,0,Olark Chat,API,Converted to Lead
Vault Co,11,1954,3.6,1,0,Organic Search,Lead Import,Olark Chat Conversation
Ledger Inc,5,1470,5.7,1,0,Organic Search,Landing Page Submission,Converted to Lead
Portland LLC,7,1170,4.9,0,0,Other,API,Olark Chat Conversation
Bluechip Co,19,1904,2.5,0,0,Google,API,Page Visited on Website
Bluechip Ltd,1,1384,4.2,0,1,Direct Traffic,Landing Page Submission,Olark Chat Conversation
Cresthill LLC,12,1365,2.0,0,0,Reference,Landing Page Submission,Page Visited on Website
